Nome da tabela;Variáveis disponíveis para a tabe;Classificações e subclassificações disponíveis para a t;Relevância para análises acadêmi;Relevância para análises econômi;Relevância para análise para investimen;Relevância para análises ambienta;Relevância para análises socia;Relevância para avaliações governament;Relevância para análises políti;Relevância para análises de sa�;Relevância para análises sobre educa�;Relevância para redução da desiguald;Relevância para desenvolvimento econômico nacion;Relevância globa
Média de horas habitualmente trabalhadas por semana e efetivamente trabalhadas na semana de referência, no trabalho principal e em todos os trabalhos, das pessoas de 14 anos ou mais de idade, por grupo de ida;"['(8186, ""Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade (Horas"")', '(8187, ""Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade "")', '(8188, ""Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade (Hora"")', '(8189, ""Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade"")', '(8190, ""Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade (Horas"")', '(8191, ""Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade "")', '(8192, ""Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade (Hora"")', '(8193, ""Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade"")']";"['((58, ""Grupo de idade""), (95253, ""Total""))', '((58, ""Grupo de idade""), (114535, ""14 a 17 anos""))', '((58, ""Grupo de idade""), (100052, ""18 a 24 anos""))', '((58, ""Grupo de idade""), (108875, ""25 a 39 anos""))', '((58, ""Grupo de idade""), (99127, ""40 a 59 anos""))', '((58, ""Grupo de idade""), (3302, ""60 anos ou mais""))']";;;;;;;;;;;;
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência, por contribuição para instituto de previdência em qualquer trab;"['(4090, ""Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas"")', '(4091, ""Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência "")']";"['((12027, ""Contribuição para instituto de previdência em qualquer traba""), (31295, ""Total""))', '((12027, ""Contribuição para instituto de previdência em qualquer traba""), (99157, ""Contribuintes""))']";;;;;;;;;;;;
Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente e efetivamente recebidos no trabalho principal e em todos os trabalhos, por nível de instru;"['(5932, ""Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reai"")', '(5940, ""Coeficiente de variação - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal"")', '(5933, ""Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos (Reai"")', '(5941, ""Coeficiente de variação - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"")', '(5934, ""Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal (Reai"")', '(5942, ""Coeficiente de variação - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal"")', '(5935, ""Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos (Reai"")', '(5943, ""Coeficiente de variação - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos"")']";"['((1568, ""Nível de instruç""), (120704, ""Total""))', '((1568, ""Nível de instruç""), (120706, ""Sem instrução e menos de 1 ano de estu""))', '((1568, ""Nível de instruç""), (11779, ""Ensino fundamental incompleto ou equivalente""))', '((1568, ""Nível de instruç""), (11628, ""Ensino fundamental completo ou equivalente""))', '((1568, ""Nível de instruç""), (11629, ""Ensino médio incompleto ou equivalent""))', '((1568, ""Nível de instruç""), (11630, ""Ensino médio completo ou equivalent""))', '((1568, ""Nível de instruç""), (11631, ""Ensino superior incompleto ou equivalente""))', '((1568, ""Nível de instruç""), (11632, ""Ensino superior completo ou equivalente""))', '((1568, ""Nível de instruç""), (11626, ""Não determinad""))']";;;;;;;;;;;;
Indicador 6.3.1 - Proporção de Águas Residuais Domésticas Tratadas de Forma Segura no Br;"['(12735, ""Proporção de águas residuais domésticas tratadas de forma segura"")']";[];;;;;;;;;;;;
Pessoas de 14 anos ou mais de idade - Total, coeficiente de variação, variações percentuais e absolutas em relação ao trimestre anterior e ao mesmo trimestre do ano anterior, por condição em relação à força de trabalho e condiç�;"['(1641, ""Pessoas de 14 anos ou mais de idade (Mil pessoas)"")', '(4087, ""Coeficiente de variação - Pessoas de 14 anos ou mais de idade ("")', '(6550, ""Variação percentual em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade (%) [2º trimestre 2012 a 2º trimestre"")', '(6551, ""Variação absoluta em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade (Mil pessoas) [2º trimestre 2012 a 2º trimestre"")', '(9110, ""Situação da Variação em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade (Nenhuma) [2º trimestre 2012 a 2º trimest"")', '(6555, ""Variação percentual em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade (%) [1º trimestre 2013 a 2º trimestre"")', '(6556, ""Variação absoluta em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade (Mil pessoas) [1º trimestre 2013 a 2º trimestre"")', '(9111, ""Situação da Variação em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade (Nenhuma) [1º trimestre 2013 a 2º trimest"")']";"['((629, ""Condição em relação à força de trabalho e condição de ""), (32385, ""Total""))', '((629, ""Condição em relação à força de trabalho e condição de ""), (32386, ""Força de trabalh""))', '((629, ""Condição em relação à força de trabalho e condição de ""), (32387, ""Força de trabalho - ocupad""))', '((629, ""Condição em relação à força de trabalho e condição de ""), (32446, ""Força de trabalho - desocupad""))', '((629, ""Condição em relação à força de trabalho e condição de ""), (32447, ""Fora da força de trabalh""))']";;;;;;;;;;;;
Indicador 16.1.1 - Número de vítimas de homicídios intencionais por 100 mil habitantes, grupo de id;"['(9502, ""Número de vítimas de homicídios intencionais por 100 mil habitantes (Pesso"")']";"['((58, ""Grupo de idade""), (1140, ""0 a 4 anos""))', '((58, ""Grupo de idade""), (1141, ""5 a 9 anos""))', '((58, ""Grupo de idade""), (1142, ""10 a 14 anos""))', '((58, ""Grupo de idade""), (1143, ""15 a 19 anos""))', '((58, ""Grupo de idade""), (1144, ""20 a 24 anos""))', '((58, ""Grupo de idade""), (1145, ""25 a 29 anos""))', '((58, ""Grupo de idade""), (1146, ""30 a 34 anos""))', '((58, ""Grupo de idade""), (1147, ""35 a 39 anos""))', '((58, ""Grupo de idade""), (1148, ""40 a 44 anos""))', '((58, ""Grupo de idade""), (1149, ""45 a 49 anos""))', '((58, ""Grupo de idade""), (1150, ""50 a 54 anos""))', '((58, ""Grupo de idade""), (1151, ""55 a 59 anos""))', '((58, ""Grupo de idade""), (3302, ""60 anos ou mais""))']";;;;;;;;;;;;
Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das l;"['(109, ""�rea plantada (Hectares)"")', '(216, ""�rea colhida (Hectares)"")', '(35, ""Produção (Tonelada"")', '(36, ""Rendimento médio (Quilogramas por Hectare"")']";"['((48, ""Produto das lavouras""), (0, ""Total""))', '((48, ""Produto das lavouras""), (39428, ""1 Cereais, leguminosas e oleaginosas""))', '((48, ""Produto das lavouras""), (39429, ""1.1 Algodão herbác""))', '((48, ""Produto das lavouras""), (39430, ""1.2 Amendoim (1ª Safra""))', '((48, ""Produto das lavouras""), (39431, ""1.3 Amendoim (2ª Safra""))', '((48, ""Produto das lavouras""), (39432, ""1.4 Arroz""))', '((48, ""Produto das lavouras""), (39433, ""1.5 Aveia""))', '((48, ""Produto das lavouras""), (39434, ""1.6 Centeio""))', '((48, ""Produto das lavouras""), (39435, ""1.7 Cevada""))', '((48, ""Produto das lavouras""), (39436, ""1.8 Feijão (1ª Safr""))', '((48, ""Produto das lavouras""), (39437, ""1.9 Feijão (2ª Safr""))', '((48, ""Produto das lavouras""), (39438, ""1.10 Feijão (3ª Safr""))', '((48, ""Produto das lavouras""), (39439, ""1.11 Girassol""))', '((48, ""Produto das lavouras""), (39440, ""1.12 Mamona""))', '((48, ""Produto das lavouras""), (39441, ""1.13 Milho (1ª Safra""))', '((48, ""Produto das lavouras""), (39442, ""1.14 Milho (2ª Safra""))', '((48, ""Produto das lavouras""), (39443, ""1.15 Soja""))', '((48, ""Produto das lavouras""), (39444, ""1.16 Sorgo""))', '((48, ""Produto das lavouras""), (39445, ""1.17 Trigo""))', '((48, ""Produto das lavouras""), (39446, ""1.18 Triticale""))', '((48, ""Produto das lavouras""), (39447, ""2 Abacaxi""))', '((48, ""Produto das lavouras""), (39448, ""3 Alho""))', '((48, ""Produto das lavouras""), (39449, ""4 Banana""))', '((48, ""Produto das lavouras""), (39450, ""5 Batata - inglesa (1ª Safra""))', '((48, ""Produto das lavouras""), (39451, ""6 Batata - inglesa (2ª Safra""))', '((48, ""Produto das lavouras""), (39452, ""7 Batata - inglesa (3ª Safra""))', '((48, ""Produto das lavouras""), (39453, ""8 Cacau""))', '((48, ""Produto das lavouras""), (40527, ""9/10 Café tota""))', '((48, ""Produto das lavouras""), (39454, ""9 Café arábi""))', '((48, ""Produto das lavouras""), (39455, ""10 Café canephor""))', '((48, ""Produto das lavouras""), (39456, ""11 Cana-de-açúc""))', '((48, ""Produto das lavouras""), (39457, ""12 Castanha-de-caju""))', '((48, ""Produto das lavouras""), (39458, ""13 Cebola""))', '((48, ""Produto das lavouras""), (39459, ""14 Coco-da-baí""))', '((48, ""Produto das lavouras""), (39460, ""15 Fumo""))', '((48, ""Produto das lavouras""), (39461, ""16 Guaran�""))', '((48, ""Produto das lavouras""), (39462, ""17 Juta""))', '((48, ""Produto das lavouras""), (39463, ""18 Laranja""))', '((48, ""Produto das lavouras""), (39464, ""19 Maç""))', '((48, ""Produto das lavouras""), (39465, ""20 Malva""))', '((48, ""Produto das lavouras""), (39467, ""21 Mandioca""))', '((48, ""Produto das lavouras""), (39468, ""22 Pimenta-do-reino""))', '((48, ""Produto das lavouras""), (39469, ""23 Sisal ou agave""))', '((48, ""Produto das lavouras""), (39470, ""24 Tomate""))', '((48, ""Produto das lavouras""), (39471, ""25 Uva""))']";;;;;;;;;;;;
Indicador 8.2.1 - Taxa de crescimento real do PIB por pessoa empregada;"['(9348, ""Taxa de crescimento real do PIB por pessoa empregada (%)"")']";[];;;;;;;;;;;;
Produção Física Industrial, por grandes categorias econôm;"['(12606, ""PIMPF - Número-índice (2022=100) (Número-índ"")', '(12607, ""PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índ"")', '(11601, ""PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)"")', '(11602, ""PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%) [janeiro 2003 a agosto 2"")', '(11603, ""PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%) [janeiro 2003 a agosto "")', '(11604, ""PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%) [dezembro 2003 a agosto "")']";"['((543, ""Grandes categorias econômica""), (129278, ""1 Bens de capital""))', '((543, ""Grandes categorias econômica""), (129280, ""110 Bens de capital, exceto equipamentos de transporte industrial""))', '((543, ""Grandes categorias econômica""), (129282, ""120 Equipamentos de transporte industrial""))', '((543, ""Grandes categorias econômica""), (129283, ""2 Bens intermediário""))', '((543, ""Grandes categorias econômica""), (129285, ""210 Alimentos e bebidas básicos, destinados principalmente à indúst""))', '((543, ""Grandes categorias econômica""), (129287, ""220 Alimentos e bebidas elaborados, destinados principalmente à indústr""))', '((543, ""Grandes categorias econômica""), (129289, ""230 Insumos industriais básico""))', '((543, ""Grandes categorias econômica""), (129291, ""240 Insumos industriais elaborados""))', '((543, ""Grandes categorias econômica""), (129293, ""250 Combustíveis e lubrificantes básic""))', '((543, ""Grandes categorias econômica""), (129295, ""260 Combustíveis e lubrificantes elaborados - exceto gasolinas para automóv""))', '((543, ""Grandes categorias econômica""), (129297, ""270 Peças e acessórios para bens de capit""))', '((543, ""Grandes categorias econômica""), (129299, ""280 Peças e acessórios para equipamentos de transpor""))', '((543, ""Grandes categorias econômica""), (129300, ""3 Bens de consumo""))', '((543, ""Grandes categorias econômica""), (129301, ""31 Bens de consumo durávei""))', '((543, ""Grandes categorias econômica""), (129302, ""311 Bens de consumo duráveis - exceto automóveis para passageiros e equipamentos de transporte não industr""))', '((543, ""Grandes categorias econômica""), (129303, ""312 Automóveis para passageiro""))', '((543, ""Grandes categorias econômica""), (129304, ""313 Equipamentos de transporte não industria""))', '((543, ""Grandes categorias econômica""), (129305, ""32 Bens de consumo semiduráveis e não duráv""))', '((543, ""Grandes categorias econômica""), (129306, ""321 Bens de consumo semidurávei""))', '((543, ""Grandes categorias econômica""), (129307, ""322 Bens de consumo não duráve""))', '((543, ""Grandes categorias econômica""), (129308, ""323 Alimentos e bebidas básicos, destinados principalmente ao consumo domésti""))', '((543, ""Grandes categorias econômica""), (129309, ""324 Alimentos e bebidas elaborados, destinados principalmente ao consumo doméstic""))', '((543, ""Grandes categorias econômica""), (129310, ""325 Gasolinas para automóvel (motor spirit""))', '((543, ""Grandes categorias econômica""), (129311, ""9 Bens não especificados anteriorment""))']";;;;;;;;;;;;
Média de horas habitualmente trabalhadas por semana e efetivamente trabalhadas na semana de referência, no trabalho principal e em todos os trabalhos, das pessoas de 14 anos ou mais de idade, por nível de instru;"['(8186, ""Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade (Horas"")', '(8187, ""Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade "")', '(8188, ""Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade (Hora"")', '(8189, ""Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade"")', '(8190, ""Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade (Horas"")', '(8191, ""Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade "")', '(8192, ""Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade (Hora"")', '(8193, ""Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade"")']";"['((1568, ""Nível de instruç""), (120704, ""Total""))', '((1568, ""Nível de instruç""), (120706, ""Sem instrução e menos de 1 ano de estu""))', '((1568, ""Nível de instruç""), (11779, ""Ensino fundamental incompleto ou equivalente""))', '((1568, ""Nível de instruç""), (11628, ""Ensino fundamental completo ou equivalente""))', '((1568, ""Nível de instruç""), (11629, ""Ensino médio incompleto ou equivalent""))', '((1568, ""Nível de instruç""), (11630, ""Ensino médio completo ou equivalent""))', '((1568, ""Nível de instruç""), (11631, ""Ensino superior incompleto ou equivalente""))', '((1568, ""Nível de instruç""), (11632, ""Ensino superior completo ou equivalente""))', '((1568, ""Nível de instruç""), (11626, ""Não determinad""))']";;;;;;;;;;;;
�ndice e varia��o da receita nominal e do volume das atividades tur�sticas (2022 = 100);"['(7167, ""PMS - Número-índice (2022=100) (Número-índ"")', '(7168, ""PMS - Número-índice com ajuste sazonal (2022=100) (Número-índ"")', '(11623, ""PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%) [fevereiro 2011 a julho 2"")', '(11624, ""PMS - Variação mês/mesmo mês do ano anterior (M/M-12) (%) [janeiro 2012 a julho 2"")', '(11625, ""PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%) [janeiro 2012 a julho "")', '(11626, ""PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%) [dezembro 2012 a julho "")']";"['((11046, ""Tipos de índic""), (56727, ""�ndice de receita nominal das atividades tur�sticas""))', '((11046, ""Tipos de índic""), (56728, ""�ndice de volume das atividades tur�sticas""))']";;;;;;;;;;;;
"Indicador 11.a.1 - Existência de políticas urbanas nacionais ou planos de desenvolvimento regional que (a) respondem à dinâmica populacional; (b) garantem um desenvolvimento territorial equilibrado; e (c) possuem responsabilidade fi";"['(10818, ""Existência de políticas urbanas nacionais ou planos de desenvolvimento regional que (a) respondem à dinâmica populacional; (b) garantem um desenvolvimento territorial equilibrado; e (c) possuem responsabilidade fiscal (Sim/"")']";[];;;;;;;;;;;;
Total de estabelecimentos inativos, Total de estabelecimentos inativos com informações de capacidade útil e Total de estabelecimentos inativos sem informações de capacidade;"['(2174, ""Total de estabelecimentos inativos (Unidades)"")', '(2175, ""Total de estabelecimentos inativos com informações de capacidade útil (Unidad"")', '(2176, ""Total de estabelecimentos inativos sem informações de capacidade útil (Unidades) [2º semestre 2007 a 1º semestre "")']";[];;;;;;;;;;;;
Número médio de moradores por domicí;"['(10163, ""Número médio de moradores (Pessoa"")', '(10164, ""Coeficiente de variação - Número médio de moradores"")']";[];;;;;;;;;;;;
Indicador 16.6.1 - Proporção das despesas primárias e das despesas totais do governo em relação ao orçamento original ap;"['(9500, ""Proporção das despesas primárias do governo em relação ao orçamento original aprova"")', '(11432, ""PI-1 - Despesa agregada: despesa total do governo central orçamentário como proporção do orçamento original aprovad"")']";[];;;;;;;;;;;;
Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal - Total, coeficiente de variação, variações em relação ao trimestre anterior e ao mesmo trimestre do ano anterior - por grupamento de atividade no trabalho p;"['(5932, ""Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reai"")', '(5940, ""Coeficiente de variação - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal"")', '(9202, ""Variação percentual em relação ao trimestre anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (%) [2º trimestre 2012 a 2º trimest"")', '(9203, ""Variação absoluta em relação ao trimestre anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Ponto percentual) [2º trimestre 2012 a 2º trimest"")', '(9206, ""Situação da Variação em relação ao trimestre anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Nenhuma) [2º trimestre 2012 a 2º trime"")', '(9207, ""Variação percentual em relação ao mesmo trimestre do ano anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (%) [1º trimestre 2013 a 2º trimest"")', '(9208, ""Variação absoluta em relação ao mesmo trimestre do ano anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Ponto percentual) [1º trimestre 2013 a 2º trimest"")', '(9211, ""Situação da Variação em relação ao mesmo trimestre do ano anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Nenhuma) [1º trimestre 2013 a 2º trime"")']";"['((888, ""Grupamento de atividade no trabalho principal""), (47946, ""Total""))', '((888, ""Grupamento de atividade no trabalho principal""), (47947, ""Agricultura, pecuária, produção florestal, pesca e aquicult""))', '((888, ""Grupamento de atividade no trabalho principal""), (47948, ""Indústria gera""))', '((888, ""Grupamento de atividade no trabalho principal""), (47949, ""Construç�""))', '((888, ""Grupamento de atividade no trabalho principal""), (47950, ""Comércio, reparação de veículos automotores e motocicl""))', '((888, ""Grupamento de atividade no trabalho principal""), (56622, ""Transporte, armazenagem e correio""))', '((888, ""Grupamento de atividade no trabalho principal""), (56623, ""Alojamento e alimentaç�""))', '((888, ""Grupamento de atividade no trabalho principal""), (56624, ""Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administra""))', '((888, ""Grupamento de atividade no trabalho principal""), (60032, ""Administração pública, defesa, seguridade social, educação, saúde humana e serviços ""))', '((888, ""Grupamento de atividade no trabalho principal""), (56627, ""Outros serviço""))', '((888, ""Grupamento de atividade no trabalho principal""), (56628, ""Serviços doméstic""))']";;;;;;;;;;;;
Pessoas de 14 anos ou mais de idade, por condição em relação à força de trabalho e condição de ;"['(1641, ""Pessoas de 14 anos ou mais de idade (Mil pessoas)"")', '(4087, ""Coeficiente de variação - Pessoas de 14 anos ou mais de idade ("")']";"['((629, ""Condição em relação à força de trabalho e condição de ""), (32385, ""Total""))', '((629, ""Condição em relação à força de trabalho e condição de ""), (32386, ""Força de trabalh""))', '((629, ""Condição em relação à força de trabalho e condição de ""), (32387, ""Força de trabalho - ocupad""))', '((629, ""Condição em relação à força de trabalho e condição de ""), (32446, ""Força de trabalho - desocupad""))', '((629, ""Condição em relação à força de trabalho e condição de ""), (32447, ""Fora da força de trabalh""))']";;;;;;;;;;;;
Pessoas de 14 anos ou mais de idade - Total, coeficiente de variação, variações percentuais e absolutas em relação ao trimestre anterior e ao mesmo trimestre do ano anterior - por tipo de medida de subutilização da força de trabalho na semana de r;"['(1641, ""Pessoas de 14 anos ou mais de idade (Mil pessoas)"")', '(4087, ""Coeficiente de variação - Pessoas de 14 anos ou mais de idade ("")', '(6550, ""Variação percentual em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade (%) [2º trimestre 2012 a 2º trimestre"")', '(6551, ""Variação absoluta em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade (Mil pessoas) [2º trimestre 2012 a 2º trimestre"")', '(9110, ""Situação da Variação em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade (Nenhuma) [2º trimestre 2012 a 2º trimest"")', '(6555, ""Variação percentual em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade (%) [1º trimestre 2013 a 2º trimestre"")', '(6556, ""Variação absoluta em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade (Mil pessoas) [1º trimestre 2013 a 2º trimestre"")', '(9111, ""Situação da Variação em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade (Nenhuma) [1º trimestre 2013 a 2º trimest"")']";"['((604, ""Tipo de medida de subutilização da força de trabalho na semana de referê""), (31753, ""Total""))', '((604, ""Tipo de medida de subutilização da força de trabalho na semana de referê""), (40287, ""Força de trabalho ampliad""))', '((604, ""Tipo de medida de subutilização da força de trabalho na semana de referê""), (46255, ""Força de trabalho ou desalentad""))', '((604, ""Tipo de medida de subutilização da força de trabalho na semana de referê""), (40286, ""Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhad""))', '((604, ""Tipo de medida de subutilização da força de trabalho na semana de referê""), (40285, ""Desocupado ou subocupado por insuficiência de horas trabalhada""))', '((604, ""Tipo de medida de subutilização da força de trabalho na semana de referê""), (31750, ""Desocupado""))', '((604, ""Tipo de medida de subutilização da força de trabalho na semana de referê""), (31751, ""Subocupado por insuficiência de horas trabalhada""))', '((604, ""Tipo de medida de subutilização da força de trabalho na semana de referê""), (40284, ""Desocupado ou na força de trabalho potencia""))', '((604, ""Tipo de medida de subutilização da força de trabalho na semana de referê""), (31752, ""Força de trabalho potencia""))', '((604, ""Tipo de medida de subutilização da força de trabalho na semana de referê""), (46254, ""Desalentado""))']";;;;;;;;;;;;
Taxas de desocupação e de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade, por grupo de;"['(4099, ""Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade "")', '(4103, ""Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idad"")', '(4114, ""Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de ida"")', '(4115, ""Coeficiente de variação - Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de i"")', '(4116, ""Taxa combinada de desocupação e força de trabalho potencial, na semana de referência, das pessoas de 14 anos ou mais de idade"")', '(4117, ""Coeficiente de variação - Taxa combinada de desocupação e força de trabalho potencial, na semana de referência, das pessoas de 14 anos ou mais de ida"")', '(4118, ""Taxa composta de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade"")', '(4119, ""Coeficiente de variação - Taxa composta de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de ida"")']";"['((58, ""Grupo de idade""), (95253, ""Total""))', '((58, ""Grupo de idade""), (114535, ""14 a 17 anos""))', '((58, ""Grupo de idade""), (100052, ""18 a 24 anos""))', '((58, ""Grupo de idade""), (108875, ""25 a 39 anos""))', '((58, ""Grupo de idade""), (99127, ""40 a 59 anos""))', '((58, ""Grupo de idade""), (3302, ""60 anos ou mais""))']";;;;;;;;;;;;
