Código Subclassificação	Nome Subclassificação	Código Classificação
41710	1082.9010 Serviços relacionados à produção de café solúvel e às preparações à base de café	816
41711	1091 Fabricação de produtos de panificação	816
41718	1091.2010 Bolos industrializados	816
41719	1091.2022 Pães de forma industrializados adicionado de grãos e pães de especiarias	816
41720	1091.2025 Pães de queijo, inclusive massa preparada resfriada ou congelada	816
41721	1091.2035 Pães e pães de forma industrializados, mesmo congelados, exceto pães de forma industrializados adicionados de grãos e pães de especiarias	816
41722	1091.2045 Pães, bolos, doces e outros produtos similares produzidos em padarias e confeitarias	816
41723	1091.2050 Panetones e similares	816
41724	1091.2070 Torradas e produtos semelhantes torrados; farinha de rosca	816
41725	1091.9010 Serviços relacionados à preparação de produtos de panificação	816
41726	1092 Fabricação de biscoitos e bolachas	816
41727	1092.2010 Biscoitos e bolachas	816
41728	1092.2020 Casquinhas para sorvetes e outros produtos da indústria de biscoitos	816
41729	1092.9010 Serviços relacionados à preparação de biscoitos e bolachas	816
41730	1093 Fabricação de produtos derivados do cacau, de chocolates e confeitos	816
41731	1093.2010 Achocolatados em pó	816
41732	1093.2020 Balas, pastilhas, chocolate branco e outros confeitos, sem cacau, inclusive sem açúcar	816
41733	1093.2030 Bombons e chocolates em barras, contendo cacau	816
41734	1093.2040 Cacau ou chocolate em pó, com adição de açúcar ou de outros edulcorantes	816
41735	1093.2050 Cacau ou chocolate em pó, sem adição de açúcar ou de outros edulcorantes	816
41736	1093.2060 Chocolate granulado	816
41737	1093.2070 Chocolates e outras preparações alimentícias contendo cacau, com peso superior a 2 quilos, não destinado a consumo imediato	816
41839	1093.2080 Confeitos, balas, pastilhas ou outros confeitos semelhantes contendo cacau	816
41840	1093.2090 Frutas, produtos hortícolas e outras partes de plantas cristalizados / glaceados	816
41841	1093.2100 Gomas de mascar	816
41842	1093.2110 Manteiga, gordura e óleo de cacau	816
41843	1093.2120 Pasta de cacau, inclusive refinada (líquor de cacau)	816
41844	1093.2130 Torta de cacau	816
41845	1093.9010 Serviços relacionados à preparação de derivados do cacau, chocolates, confeitos e semelhantes	816
41846	1094 Fabricação de massas alimentícias	816
41847	1094.2015 Massas alimentícias cozidas ou semicozidas, mesmo recheadas ou preparadas de outro modo, exceto pratos prontos	816
41848	1094.2030 Massas alimentícias frescas ou resfriadas, não cozidas nem recheadas (macarrão, espaguete, etc.)	816
41849	1094.2040 Massas alimentícias secas (macarrão, espaguete, etc.)	816
41850	1094.9010 Serviços relacionados à preparação de massas alimentícias	816
41851	1095 Fabricação de especiarias, molhos, temperos e condimentos	816
41852	1095.2010 Ketchup	816
41853	1095.2020 Condimentos e temperos compostos	816
41854	1095.2030 Especiarias processadas (canela, cravo, noz-moscada, etc.)	816
41855	1095.2040 Maionese	816
41856	1095.2050 Molho inglês	816
41857	1095.2060 Molhos de soja preparados	816
41858	1095.2070 Molhos de tomates preparados, exceto ketchup	816
41859	1095.2080 Molhos e conservas de pimenta	816
41860	1095.2090 Molhos preparados e preparações para molhos, de outros tipos	816
41861	1095.2100 Mostarda preparada, inclusive farinha de mostarda	816
41862	1095.9010 Serviços relacionados à produção de molhos, temperos e condimentos preparados	816
41863	1096 Fabricação de alimentos e pratos prontos	816
41864	1096.2010 Pratos prontos congelados à base de carnes, exceto pescados	816
41865	1096.2020 Pratos prontos congelados à base de peixes, crustáceos e moluscos	816
41866	1096.2030 Pratos prontos congelados à base de massas	816
41867	1096.2035 Pratos prontos congelados à base de outros produtos n.e.	816
41868	1096.2040 Pratos prontos à base de vegetais	816
41869	1096.2050 Sobremesas prontas para consumo (gelatinas, tortas, etc.), exceto sobremesas lácteas	816
41870	1096.9010 Serviços relacionados à preparação de pratos prontos congelados	816
41871	1099 Fabricação de produtos alimentícios não especificados anteriormente	816
41872	1099.2010 Adoçante dietético em pó	816
41873	1099.2020 Adoçante dietético líquido	816
41874	1099.2040 Chá mate beneficiado (chá mate tostado, erva-mate)	816
41875	1099.2055 Chá verde não fermentado; chá preto não fermentado e chá parcialmente fermentado, em embalagens imediatas de conteúdo não superior a 3kg	816
41876	1099.2060 Complementos alimentares, suplementos vitamínicos e minerais ou produtos semelhantes	816
41877	1099.2070 Concentrados de proteínas, substâncias protéicas texturizadas (proteína texturizada de soja)	816
41878	1099.2080 Doces em massa, em calda ou preparado de outra forma, exceto doces de frutas ou de leite	816
41879	1099.2090 Extrato de malte	816
41880	1099.2100 Extratos, essências, concentrados e outras preparações do chá ou mate	816
41881	1099.2110 Farinhas de ossos, de outros resíduos do abate de animais ou farinhas de conchas para qualquer uso	816
41882	1099.2120 Fermentos em pó, exceto fermentos biológicos	816
41883	1099.2130 Gelatinas para fins alimentares (em pó ou em folhas)	816
41884	1099.2140 Geleia de mocotó	816
41885	1099.2150 Gelo comum (exceto gelo seco)	816
41886	1099.2160 Leveduras vivas ou mortas (inclusive fermentos biológicos) e outros microrganismos mortos; levedura de cerveja	816
41887	1099.2170 Ovos sem casca e gemas de ovos conservados; ovalbumina	816
41888	1099.2190 Pós preparados para pudins, cremes, sorvetes, flans, etc., exceto para gelatina	816
41889	1099.2200 Preparações alimentares à base de farinhas, sêmolas e etc.	816
41890	1099.2210 Preparações à base de leite, farinhas, sêmolas ou amidos, etc., para alimentação infantil	816
41891	1099.2220 Preparações alimentares à base de soja, exceto proteína texturizada de soja	816
41892	1099.2230 Preparações alimentícias dietéticas, n.e.	816
41893	1099.2245 Preparações alimentícias, n.e.	816
41894	1099.2250 Preparações homogeneizadas de carne, miudezas ou sangue	816
41895	1099.2260 Preparações homogeneizadas de frutas ou de outros produtos hortícolas para alimentação infantil e uso dietético	816
41896	1099.2265 Sal de cozinha iodado - sal de mesa (p. ex. sal grosso iodado, sal refinado iodado, sal em escamas iodado, etc.)	816
41897	1099.2275 Preparações para caldos e sopas; caldos e sopas preparados	816
41898	1099.2290 Sucos e extratos vegetais; matérias pécticas; ágar-ágar e outros produtos mucilaginosos e espessantes, derivados dos vegetais	816
41899	1099.2305 Sucedâneos do mel, mesmo misturados com mel natural	816
41900	1099.2310 Sucos e extratos de carnes, peixes, crustáceos, etc.	816
41901	1099.2320 Vinagre e seus sucedâneos	816
41902	1099.9010 Serviços relacionados à produção de produtos alimentícios n.e.	816
41903	1111 Fabricação de aguardentes e outras bebidas destiladas	816
41904	1111.2010 Aguardente de cana-de-açúcar (cachaça ou caninha); rum ou tafiá	816
41905	1111.2020 Aguardente de vinho ou de bagaço de uva (conhaque, brande, etc.)	816
41906	1111.2030 Aguardente desnaturada (imprópria para consumo)	816
41907	1111.2040 Bebidas alcoólicas destiladas, de outros tipos (p.ex. aguardente de frutas, gim e genebra, etc.)	816
41908	1111.2050 Borras e desperdícios das destilarias	816
41909	1111.2060 Licores	816
41910	1111.2070 Uísques	816
41911	1111.2080 Vodca	816
41912	1111.9010 Serviços relacionados à produção de aguardentes e outras bebidas destiladas	816
41913	1112 Fabricação de vinho	816
41914	1112.2010 Borras de vinho e tártaro em bruto	816
41915	1112.2020 Misturas de bebidas fermentadas e de bebidas não alcoólicas com fermentadas	816
41916	1112.2030 Mosto de uvas fermentado	816
41917	1112.2040 Sidra e outras bebidas fermentadas (perada, hidromel)	816
41918	1112.2050 Vermutes e outros vinhos de uvas frescas aromatizados	816
41919	1112.2060 Vinhos de frutas, exceto uvas	816
41920	1112.2070 Vinhos de uvas, exceto do tipo champanha	816
41921	"1112.2080 Vinhos de uvas frescas, tipo champanha (""champagne"")"	816
41922	1112.9010 Serviços relacionados à preparação de vinhos	816
41923	1113 Fabricação de malte, cervejas e chopes	816
41924	1113.2010 Borras e desperdícios da indústria da cerveja	816
41925	1113.2020 Cervejas e chope	816
41926	1113.2030 Malte, torrado ou não, inteiro, partido ou moído (farinha de malte)	816
41927	1113.9010 Serviços relacionados à preparação de cervejas ou chopes	816
41928	1121 Fabricação de águas envasadas	816
41929	1121.2010 Águas minerais naturais e águas gaseificadas sem adoçantes ou aromatizantes	816
41930	1121.2020 Água purificada adicionada de sais minerais, sem adoçantes ou aromatizantes, inclusive gaseificadas	816
41931	1121.9010 Serviço de envasamento de águas	816
41932	1122 Fabricação de refrigerantes e de outras bebidas não-alcoólicas	816
41933	1122.2010 Águas minerais e águas gaseificadas com adoçantes ou aromatizantes	816
41934	1122.2015 Bebidas energéticas	816
41935	1122.2020 Bebidas isotônicas	816
41936	1122.2035 Bebidas não alcoólicas de outros tipos, exceto guaraná natural, sucos ou refrescos de frutas	816
41937	1122.2040 Guaraná natural pronto para consumo	816
41938	1122.2050 Preparações em pó para elaboração de bebidas, exceto para fins industriais	816
41939	1122.2060 Preparações em pó para elaboração de bebidas, para fins industriais	816
41940	1122.2070 Preparações em xarope para elaboração de bebidas, exceto para fins industriais	816
41941	1122.2080 Preparações em xarope para elaboração de bebidas, para fins industriais	816
41942	1122.2090 Refrigerantes	816
41943	1122.9010 Serviços relacionados à produção de refrigerantes e de outras bebidas não alcoólicas	816
41944	1210 Processamento industrial do fumo	816
41945	1210.2010 Folhas de fumo total ou parcialmente destaladas (destalamento e outros beneficiamentos elaborados em unidades industriais)	816
41946	1210.2020 Resíduos ou desperdícios da manipulação de folhas de fumo (talos, caules, aparas, etc.)	816
41947	1210.9010 Serviço de processamento de folhas de fumo (destalamento e outros beneficiamentos elaborados em unidades industriais)	816
41948	1220 Fabricação de produtos do fumo	816
41949	1220.2010 Charutos e cigarrilhas	816
41950	1220.2020 Cigarros	816
41951	1220.2030 Cilindros para filtros de cigarro	816
41952	1220.2040 Produtos do fumo e seus sucedâneos, manufaturados, n.e.; fumo “homogeneizado” ou “reconstituído”; extratos e molhos, de fumo	816
41953	1220.2050 Resíduos ou desperdícios da fabricação de produtos do fumo	816
41954	1220.9010 Serviços relacionados à elaboração de produtos do fumo	816
41955	1311 Preparação e fiação de fibras de algodão	816
41956	1311.2010 Algodão cardado ou penteado	816
41957	1311.2025 Desperdícios da preparação, beneficiamento e fiação do algodão, (p. ex. Fiapos de matérias têxteis, predominando as de algodão, denominadas de estopa)	816
41958	1311.2040 Fibras de algodão (curta, média ou longa); algodão em pluma; algodão em rama	816
41959	1311.2050 Fios de algodão (exceto linhas para costurar), acondicionados para venda a varejo	816
41960	1311.2060 Fios de algodão retorcidos ou retorcidos múltiplos	816
41961	1311.2070 Fios de algodão singelos (simples)	816
41962	1311.9010 Serviço de beneficiamento do algodão e serviços relacionados	816
41963	1311.9020 Serviço de fiação de algodão e serviços relacionados	816
41964	1312 Preparação e fiação de fibras têxteis naturais, exceto algodão	816
41965	1312.2010 Desperdícios da fiação de fibras têxteis naturais	816
41966	1312.2020 Desperdícios de lã, pêlos finos e grosseiros, inclusive fiapos	816
41967	1312.2030 Fibras de juta ou malva preparadas para fiação e seus resíduos (estopas e desperdícios)	816
41968	"1312.2040 Fibras de lã cardada, penteada ou em ""tops""; pêlos finos ou grosseiros, cardados ou penteados"	816
41969	1312.2050 Fibras de lã lavada (desengordurada)	816
41970	1312.2060 Fibras de linho preparadas para fiação, e resíduos (estopas e desperdícios)	816
41971	1312.2070 Fibras de sisal ou agave preparadas para fiação, e seus resíduos (estopas ou desperdícios)	816
41972	1312.2080 Fibras têxteis naturais n.e., preparadas para fiação e seus resíduos (estopas e desperdícios)	816
41973	1312.2090 Fios de fibras têxteis naturais, n.e.; fios de papel	816
41974	1312.2100 Fios de juta ou malva	816
41975	1312.2110 Fios de lã cardada ou penteada, com predominância em lã	816
41976	1312.2120 Fios de linho	816
41977	1312.2130 Fios de seda ou de desperdícios de seda	816
41978	1312.2140 Seda crua (não fiada) e seus desperdícios	816
41979	1312.2150 Suarda, incluindo lanolina	816
41980	1312.9010 Serviço de beneficiamento de fibras têxteis naturais, exceto algodão e serviços relacionados	816
41981	1312.9020 Serviço de fiação de fibras têxteis naturais, exceto algodão, e serviços relacionados	816
41982	1313 Fiação de fibras artificiais e sintéticas	816
41983	1313.2010 Desperdícios da fiação de fibras artificiais ou sintéticas, descontínuas	816
41984	1313.2020 Fibras artificiais descontínuas, cardadas, penteadas ou preparadas de outro modo para fiação	816
41985	1313.2030 Fibras sintéticas descontínuas, cardadas, penteadas ou preparadas de outro modo para fiação	816
41986	1313.2040 Fios de fibras artificiais descontínuas, com predominância de fibras artificiais descontínuas	816
41987	1313.2050 Fios de fibras sintéticas descontínuas, mesmo combinadas com outras fibras	816
41988	1313.2060 Fios de fibras artificiais ou sintéticas, descontínuas (exceto linhas para costurar), acondicionados para venda a varejo	816
41989	1313.2070 Fios de filamentos artificiais ou sintéticos (exceto linhas para costurar), acondicionados para venda a varejo	816
41990	1313.2080 Fios retorcidos ou retorcidos múltiplos de filamentos artificiais	816
41991	1313.2090 Fios retorcidos ou retorcidos múltiplos de filamentos sintéticos	816
41992	1313.9010 Serviço de fiação de fibras artificiais ou sintéticas e serviços relacionados	816
41993	1314 Fabricação de linhas para costurar e bordar	816
41994	1314.2010 Linhas ou fios de algodão para costurar, bordar e semelhantes	816
41995	1314.2020 Linhas ou fios de filamentos artificiais para costurar, bordar e semelhantes	816
41996	1314.2030 Linhas ou fios de filamentos sintéticos para costurar, bordar e semelhantes	816
41997	1314.2040 Linhas ou fios de têxteis naturais (exceto de algodão) para costurar, bordar e semelhantes	816
41998	1314.9010 Serviços relacionados à produção de linhas ou fios para costurar, bordar e semelhantes	816
41999	1321 Tecelagem de fios de algodão	816
42000	1321.2010 Cobertores e mantas de algodão, quando integrados à tecelagem	816
42001	1321.2020 Roupas de banho (toalhas de banho, rosto, mãos e semelhantes) de tecidos de algodão, inclusive atoalhados, quando integradas à tecelagem	816
42002	1321.2035 Roupas de cama (exceto colchas, cobertores e mantas), de tecidos de algodão, quando integradas à tecelagem	816
42003	1321.2040 Roupas de mesa, copa e cozinha, de tecidos de algodão, inclusive atoalhados, quando integradas à tecelagem	816
42004	1321.2050 Sacos (sacaria) de algodão para embalagem, quando integrados à tecelagem	816
42005	1321.2060 Tecidos atoalhados (felpudos), de algodão; tecidos tufados	816
42006	1321.2070 Tecidos de algodão crus ou alvejados com menos de 85%, em peso, de algodão, combinados e outros tecidos de algodão crus ou alvejados misturados	816
42007	1321.2080 Tecidos de algodão tintos, estampados ou tintos em fio, inclusive combinados	816
42008	"1321.2090 Tecidos de algodão, denominados ""denim"" com fios tintos em ""índigo blue"""	816
42009	1321.2100 Tecidos de algodão crus ou alvejados com 85% ou mais, em peso, de algodão	816
42010	1321.2110 Tecidos de algodão tintos ou estampados, exceto combinados	816
42011	1321.2120 Tecidos em ponto de gaze, de algodão	816
42012	1321.2130 Veludos e pelúcias, de algodão	816
42013	1321.9010 Serviço de tecelagem de algodão e serviços relacionados	816
42014	1322 Tecelagem de fios de fibras têxteis naturais, exceto algodão	816
42015	1322.2010 Cobertores e mantas de lã ou de pêlos finos ou de outras matérias têxteis naturais, quando integrados à tecelagem	816
42016	1322.2020 Roupas de banho (toalhas de banho, rosto, mãos e semelhantes) de tecidos de fibras naturais (exceto algodão), quando integradas à tecelagem	816
42017	1322.2035 Roupas de cama (exceto colchas, cobertores e mantas) de lã, de pêlos finos ou de outras matérias têxteis naturais (exceto algodão), quando integradas à tecelagem	816
42018	1322.2040 Roupas de mesa, copa e cozinha, de tecidos de fibras naturais (exceto algodão), quando integradas à tecelagem	816
42019	1322.2050 Sacos (sacaria) de juta ou de outras matérias têxteis naturais (exceto algodão) para embalagem, quando integrados à tecelagem	816
42020	1322.2060 Tecidos atoalhados de matérias têxteis naturais, exceto algodão	816
42021	1322.2070 Tecidos de fibras naturais, n.e.	816
42022	1322.2080 Tecidos de lã ou pêlos finos cardados ou penteados, inclusive combinados	816
42023	1322.2090 Tecidos de linho, inclusive misto	816
42024	1322.2100 Tecidos de seda ou de desperdícios de seda	816
42025	1322.2110 Tecidos em ponto de gaze de matérias têxteis naturais, exceto algodão	816
42026	1322.2120 Tecidos ou telas de juta ou malva	816
42027	1322.2130 Veludos e pelúcias de matérias têxteis naturais, exceto algodão	816
42028	1322.9010 Serviço de tecelagem de fios de fibras têxteis naturais (exceto algodão) e serviços relacionados	816
42029	1323 Tecelagem de fios de fibras artificiais e sintéticas	816
42030	1323.2010 Cobertores e mantas de fibras sintéticas, quando integrados à tecelagem	816
42031	1323.2020 Mantas de filamentos sintéticos	816
42032	1323.2030 Roupas de banho (toalhas de banho, rosto, mãos e semelhantes) de tecidos de fios artificiais ou sintéticos, quando integradas à tecelagem	816
42033	1323.2045 Roupas de cama (exceto colchas, cobertores e mantas), de fios artificiais ou sintéticos, quando integradas à tecelagem	816
42034	1323.2050 Roupas de mesa, copa e cozinha de tecidos de fios artificiais ou sintéticos, quando integradas à tecelagem	816
42035	1323.2060 Sacos, inclusive contentores flexíveis (big-bags) para embalagem, de matérias têxteis artificiais ou sintéticas, quando integrados à tecelagem	816
42036	1323.2070 Tecidos de fibras de vidro	816
42037	1323.2080 Tecidos de fibras descontínuas artificiais, crus ou alvejados, inclusive combinados com outras fibras	816
42038	1323.2090 Tecidos de fibras descontínuas artificiais, tintos ou estampados, inclusive combinados com outras fibras	816
42039	1323.2100 Tecidos de fibras descontínuas sintéticas, crus ou alvejados, inclusive combinados com outras fibras	816
42040	1323.2110 Tecidos de fibras descontínuas sintéticas, tintos ou estampados, inclusive combinados com outras fibras	816
42041	1323.2120 Tecidos de filamentos artificiais, crus ou alvejados	816
42042	1323.2130 Tecidos de filamentos artificiais, tintos ou estampados	816
42043	1323.2140 Tecidos de filamentos de aramida e/ou de poliamida de alta tenacidade, sem fios de borracha	816
42044	1323.2150 Tecidos de filamentos de aramida e/ou de poliamida de alta tenacidade, com fios de borracha	816
42045	1323.2160 Tecidos de filamentos sintéticos, crus ou alvejados, inclusive combinados com outras fibras	816
42046	1323.2170 Tecidos de filamentos sintéticos, tintos ou estampados, inclusive combinados com outras fibras	816
42047	1323.2180 Tecidos de fios de ráfia ou lâminas sintéticas	816
42048	1323.2190 Tecidos de fios de raiom viscose de alta tenacidade	816
42049	1323.2200 Veludos e pelúcias, de fibras artificiais ou sintéticas	816
42050	1323.9010 Serviço de tecelagem de fios de fibras ou filamentos artificiais ou sintéticos e serviços relacionados	816
42051	1330 Fabricação de tecidos de malha	816
42052	1330.2010 Tecidos de malha de algodão atoalhados, veludos e pelúcias	816
42053	1330.2020 Tecidos de malha de algodão, exceto atoalhados	816
42054	1330.2030 Tecidos de malha de fibras sintéticas ou artificiais, atoalhados, veludos e pelúcias	816
42055	1330.2040 Tecidos de malha de fibras sintéticas ou artificiais, exceto atoalhados	816
42056	1330.2050 Tecidos de malha de outras matérias têxteis naturais, n.e., atoalhados, veludos e pelúcias	816
42057	1330.2060 Tecidos de malha de outras matérias têxteis naturais, n.e., exceto atoalhados	816
42058	1330.9010 Serviços de fabricação de tecidos de malha	816
42059	1340 Acabamentos em fios, tecidos e artefatos têxteis	816
42060	1340.9010 Acabamentos (branqueamento, tingimento, estampagem, etc.) em tecidos, produzidos por terceiros	816
42061	1340.9020 Acabamentos (branqueamento, tingimento, torção, etc.) em fibras e fios têxteis, produzidos por terceiros	816
42062	1340.9030 Acabamentos (tingimento, estamparia, etc.) em artefatos têxteis, exceto vestuário, produzidos por terceiros	816
42063	1340.9040 Acabamentos (tingimento, estampagem, etc.) em artigos do vestuário, produzidos por terceiros	816
42064	1340.9050 Serviço de bordados em artefatos têxteis, n.e.	816
42065	1351 Fabricação de artefatos têxteis para uso doméstico	816
42066	1351.2010 Almofadas, pufes, travesseiros e semelhantes	816
42067	1351.2020 Cortinas e acessórios de tecidos de qualquer matéria têxtil	816
42068	1351.2030 Rodilhas e outros artefatos confeccionados com têxteis, para limpeza	816
42069	1351.2040 Roupas de banho (toalhas de banho, rosto, mãos e semelhantes) de qualquer tecido, quando não integradas à tecelagem	816
42070	1351.2050 Roupas de cama (colchas, cobertores, edredons, lençóis, etc.), de tecidos, quando não integradas à tecelagem	816
42071	1351.2060 Roupas de mesa, copa e cozinha, de tecidos, quando não integradas à tecelagem	816
42072	1351.2070 Sortidos de cortes de tecidos ou fios para confeccionar tapetes, toalhas de mesa, guardanapos ou artefatos semelhantes	816
42073	1351.9010 Serviço de confecção de artefatos têxteis para uso doméstico, quando não integrados à tecelagem	816
42074	1351.9020 Serviço de instalação de cortinas (associado à produção de cortinas)	816
42075	1352 Fabricação de artefatos de tapeçaria	816
42076	1352.2010 Tapeçarias feitas à mão ou à agulha	816
42077	1352.2020 Tapetes, carpetes e outros revestimentos para pisos, de feltro ou de matérias têxteis, com suportes, inclusive para veículos	816
42078	1352.2030 Tapetes, carpetes e outros revestimentos para pisos, de matérias têxteis, não tufados ou flocados	816
42079	1352.2040 Tapetes, carpetes e outros revestimentos para pisos, de matérias têxteis, tufados, mesmo confeccionados, inclusive para veículos	816
42080	1352.2050 Tapetes, carpetes e outros revestimentos para pisos de matérias têxteis, de pontos nodados ou enrolados, mesmo confeccionados	816
42081	1352.2060 Tapetes e outros revestimentos têxteis para pavimentos, obtidos por tecelagem	816
42082	1352.9010 Serviço de confecção de artefatos de tapeçaria e serviços relacionados	816
42083	1353 Fabricação de artefatos de cordoaria	816
42084	1353.2010 Cordéis, cordas e cabos de fibras de algodão, de juta ou de matérias têxteis, n.e.	816
42085	1353.2020 Cordéis, cordas e cabos de fibras sintéticas (poliamida, náilon, etc.)	816
42086	1353.2030 Cordéis, cordas e cabos de polietileno ou de polipropileno	816
42087	1353.2040 Cordéis, cordas e cabos de sisal ou de outras fibras duras	816
42088	1353.2050 Redes e artigos confeccionados com fios, lâminas e materiais têxteis (redes para pescar, redes de dormir, etc.)	816
42089	1353.9010 Serviço de confecção de artefatos de cordoaria e serviços relacionados	816
42090	1354 Fabricação de tecidos especiais, inclusive artefatos	816
42091	1354.2010 Artefatos diversos confeccionados com tecido não tecidos (falsos tecidos), exceto para segurança e proteção	816
42092	1354.2020 Artefatos diversos de tecidos confeccionados com tecidos especiais	816
42093	1354.2030 Feltros, mesmo impregnados, revestidos, recobertos ou estratificados	816
42094	1354.2040 Lonas, toldos, tendas, velas para embarcações, artigos para acampamento e semelhantes de tecido de acabamento especial	816
42095	1354.2050 Mangueiras, tubos e correias transportadoras ou transmissão de materiais têxteis - inclusive mangueiras de incêndio	816
42096	1354.2060 Mechas de matérias têxteis, tecidas, entrançadas ou tricotadas, para candeeiros, fogareiros, isqueiros e semelhantes; camisas de incandescência e tecidos tubulares tricotados, mesmo impregnados	816
42097	1354.2075 Pára-quedas, parapentes e semelhantes; partes e acessórios	816
42098	1354.2085 Pastas (“ouates”) de matérias têxteis e artigos destas pastas; tontisses, nós e bolotas de fibras têxteis	816
42099	1354.2090 Tecido não tecido ou falsos tecidos, de fibras naturais, artificiais ou sintéticas, mesmo acabados	816
42100	1354.2110 Tecidos com fios metalizados	816
42101	1354.2120 Tecidos e feltros combinados com matérias diversas, inclusive artefatos, para usos técnicos	816
42102	1354.2130 Tecidos revestidos ou impregnados, inclusive as entretelas	816
42103	1354.2140 Telas para pneumáticos fabricadas com fios sintéticos ou artificiais de alta tenacidade	816
42104	1354.9010 Serviços relacionados à confecção de artefatos diversos confeccionados com tecidos especiais	816
42105	1359 Fabricação de outros produtos têxteis não especificados anteriormente	816
42106	1359.2010 Artefatos têxteis confeccionados, n.e.	816
42107	1359.2020 Artefatos têxteis matelassês em peças, etc.	816
42108	1359.2030 Artigos de passamanaria (etiquetas não bordadas, emblemas, viés, galões, etc.)	816
42109	1359.2040 Bordados em peças, tiras ou em motivos (inclusive as etiquetas bordadas)	816
42110	1359.2050 Colchonetes e sacos de dormir	816
42111	1359.2060 Fios, fitas e cordas de borracha ou plástico, recobertos de têxteis; imitações de categute de fios de seda	816
42112	"1359.2070 Fios e lâminas revestidos por enrolamento; fios de froco (chenille); fios denominados ""de cadeia"""	816
42113	1359.2080 Fios têxteis metálicos ou metalizados	816
42114	1359.2090 Fitas de tecidos, inclusive as fitas ou os tecidos elásticos	816
42115	1359.2100 Rendas de fabricação mecânica, em peças, em tiras ou em motivos	816
42116	1359.2110 Rendas de fabricação manual, em peças, em tiras ou em motivos	816
42117	1359.2120 Sacos (sacaria) para embalagem, de tecido de algodão, juta ou outras fibras naturais, quando não integrados à tecelagem	816
42118	1359.2130 Sacos, inclusive contentores flexíveis (big-bags) para embalagem, de matérias têxteis artificiais ou sintéticas, quando não integrados à tecelagem	816
42119	1359.2150 Tules, filó e tecidos de malhas com nós, de qualquer matéria têxtil	816
42120	1359.9010 Serviço de confecção de artefatos têxteis, n.e. e serviços relacionados	816
42121	1411 Confecção de roupas íntimas	816
42122	1411.2010 Calcinhas de malha	816
42123	1411.2020 Calcinhas, exceto de malha	816
42124	1411.2030 Cintas e cintas-calças, inclusive de malha	816
42125	1411.2040 Cintas-sutiãs (modeladores de torso inteiro), inclusive de malha	816
42126	1411.2050 Cuecas e semelhantes, de malha	816
42127	1411.2060 Cuecas e semelhantes, exceto de malha	816
42128	1411.2070 Espartilhos, suspensórios, ligas, artefatos semelhantes e suas partes; bojos para sutiã e calcinha, inclusive de malha	816
42129	1411.2080 Roupas de dormir ou de banho (camisolas, pijamas, roupões e semelhantes), de malha, de uso feminino	816
42130	1411.2090 Roupas de dormir ou de banho (camisolas, pijamas, roupões e semelhantes), exceto de malha, de uso feminino	816
42131	1411.2100 Roupas de dormir ou de banho (pijamas, roupões e semelhantes), de malha, de uso masculino	816
42132	1411.2110 Roupas de dormir ou de banho (pijamas, roupões e semelhantes), exceto de malha, de uso masculino	816
42133	1411.2120 Roupas interiores (anáguas, combinações, corpetes e semelhantes), de malha	816
42134	1411.2130 Roupas interiores (anáguas, combinações, corpetes e semelhantes), exceto de malha	816
42135	1411.2140 Sutiãs de malha	816
42136	1411.2150 Sutiãs exceto de malha	816
42137	1411.9010 Serviço de confecção de roupas íntimas, facção ou outros serviços relacionados	816
42138	1412 Confecção de peças do vestuário, exceto roupas íntimas	816
42139	1412.2010 Artigos do vestuário confeccionados com tecidos, de malha, impregnados (com plástico, borracha ou outros materiais)	816
42140	1412.2020 Artigos do vestuário confeccionados com tecidos, exceto de malha, impregnados (com plástico, borracha ou outros materiais)	816
42146	1412.2030 Bermudas, jardineiras, shorts e semelhantes, exceto de malha, de uso feminino	816
42147	1412.2040 Bermudas, jardineiras, shorts e semelhantes, exceto de malha, de uso masculino	816
42148	1412.2055 Blazers, paletós, casacos, mantôs jaquetas e semelhantes, de malha, de uso feminino	816
42149	1412.2065 Blazers, paletós, casacos, mantôs jaquetas e semelhantes, exceto de malha, de uso feminino	816
42150	1412.2070 Bermudas, jardineiras, shorts, calças e semelhantes, de malha, de uso feminino	816
42151	1412.2080 Bermudas, jardineiras, shorts, calças e semelhantes, de malha, de uso masculino	816
42152	1412.2090 Calças compridas, exceto de malha, de uso feminino	816
42153	1412.2100 Calças compridas, exceto de malha, de uso masculino	816
42154	1412.2110 Calções, sungas e semelhantes de praia, de malha	816
42155	1412.2120 Calções, sungas e semelhantes de praia, exceto de malha	816
42156	1412.2130 Blusas, camisas e semelhantes, de malha, de uso feminino	816
42157	1412.2140 Camisas, blusas e semelhantes, exceto de malha, de uso feminino	816
42158	1412.2150 Camisas, de malha, de uso masculino	816
42159	1412.2160 Camisas, exceto de malha, de uso masculino	816
42160	"1412.2170 Camisetas (""T-Shirts"") e camisetas interiores"	816
42161	1412.2180 Conjuntos, de malha, de uso feminino	816
42186	1412.2190 Conjuntos, de malha, de uso masculino	816
42187	1412.2200 Conjuntos de saia-casaco (tailleurs), de malha, de uso feminino	816
42188	1412.2210 Conjuntos de saia-casaco (tailleurs), exceto de malha, de uso feminino	816
42189	1412.2220 Conjuntos, exceto de malha, de uso feminino	816
42190	1412.2230 Conjuntos, exceto de malha, de uso masculino	816
42191	1412.2240 Macacões, agasalhos e conjuntos para esporte, de malha	816
42192	1412.2250 Macacões, agasalhos e conjuntos para esporte, exceto de malha	816
